source	target	source name	target name	value	type	source layer	target layer
38	4977	ACLY_mut	R-HSA-6798695	0.0024802640748223187	1	0	1
38	4458	ACLY_mut	R-HSA-75105	0.0025217186695145857	0	0	1
38	4458	ACLY_mut	R-HSA-75105	0.0024802640748223187	1	0	1
39	5002	ACMSD_mut	R-HSA-71240	0.00028072018686644797	0	0	1
39	5002	ACMSD_mut	R-HSA-71240	0.00027336048095902597	1	0	1
40	4473	ACOT12_mut	R-HSA-77289	0.0014170570397658998	0	0	1
40	4473	ACOT12_mut	R-HSA-77289	0.0013799056711529072	1	0	1
41	4156	ACOXL_mut	R-HSA-390918	0.000202467624755324	0	0	1
41	4156	ACOXL_mut	R-HSA-390918	0.00019715947605113292	1	0	1
42	4458	ACSBG2_mut	R-HSA-75105	0.002085145409283642	0	0	1
42	4458	ACSBG2_mut	R-HSA-75105	0.0020304785866755992	1	0	1
43	4473	ACSF2_mut	R-HSA-77289	0.001756210266547795	0	0	1
43	4473	ACSF2_mut	R-HSA-77289	0.0017101673139323895	1	0	1
44	4165	ACSL4_mut	R-HSA-400451	0.00036036304574180476	0	0	1
44	4165	ACSL4_mut	R-HSA-400451	0.0003509152936658211	1	0	1
44	4458	ACSL4_mut	R-HSA-75105	0.00036036304574180476	0	0	1
44	4458	ACSL4_mut	R-HSA-75105	0.0003509152936658211	1	0	1
45	4458	ACSL5_mut	R-HSA-75105	0.005603559380688239	0	0	1
45	4458	ACSL5_mut	R-HSA-75105	0.00545664909117881	1	0	1
46	3885	ACSM2A_mut	R-HSA-156587	0.004592599188779584	0	0	1
46	3885	ACSM2A_mut	R-HSA-156587	0.00491581580394672	1	0	1
46	5298	ACSM2A_mut	R-HSA-9749641	0.004592599188779584	0	0	1
46	5298	ACSM2A_mut	R-HSA-9749641	0.00491581580394672	1	0	1
47	3885	ACSM2B_mut	R-HSA-156587	0.001721819050241417	0	0	1
47	3885	ACSM2B_mut	R-HSA-156587	0.001815760638338462	1	0	1
47	5298	ACSM2B_mut	R-HSA-9749641	0.001721819050241417	0	0	1
47	5298	ACSM2B_mut	R-HSA-9749641	0.001815760638338462	1	0	1
48	4473	ACSM3_mut	R-HSA-77289	0.0016686765130644846	0	0	1
48	4473	ACSM3_mut	R-HSA-77289	0.0016249283663556627	1	0	1
49	3885	ACSM4_mut	R-HSA-156587	0.0044312428831795436	0	0	1
49	3885	ACSM4_mut	R-HSA-156587	0.004502788327550257	1	0	1
49	5298	ACSM4_mut	R-HSA-9749641	0.0044312428831795436	0	0	1
49	5298	ACSM4_mut	R-HSA-9749641	0.004502788327550257	1	0	1
50	3885	ACSM5_mut	R-HSA-156587	0.004915340011292655	0	0	1
50	3885	ACSM5_mut	R-HSA-156587	0.005160264765436295	1	0	1
50	5298	ACSM5_mut	R-HSA-9749641	0.004915340011292655	0	0	1
50	5298	ACSM5_mut	R-HSA-9749641	0.005160264765436295	1	0	1
51	4472	ACSS3_mut	R-HSA-77111	0.01239768736801731	0	0	1
51	4472	ACSS3_mut	R-HSA-77111	0.012072653616390502	1	0	1
52	3974	ACTB_mut	R-HSA-195258	0.03175720302776123	0	0	1
52	3974	ACTB_mut	R-HSA-195258	0.031232971633370552	1	0	1
52	4003	ACTB_mut	R-HSA-2029482	0.03175720302776123	0	0	1
52	4003	ACTB_mut	R-HSA-2029482	0.031232971633370552	1	0	1
52	4211	ACTB_mut	R-HSA-4420097	0.03175720302776123	0	0	1
52	4211	ACTB_mut	R-HSA-4420097	0.031232971633370552	1	0	1
52	4333	ACTB_mut	R-HSA-5673001	0.03175720302776123	0	0	1
52	4333	ACTB_mut	R-HSA-5673001	0.031232971633370552	1	0	1
52	4551	ACTB_mut	R-HSA-9012999	0.03175720302776123	0	0	1
52	4551	ACTB_mut	R-HSA-9012999	0.031232971633370552	1	0	1
52	4621	ACTB_mut	R-HSA-9664407	0.03175720302776123	0	0	1
52	4621	ACTB_mut	R-HSA-9664407	0.031232971633370552	1	0	1
53	5206	ACTC1_mut	R-HSA-390522	0.0008230514108112806	0	0	1
53	5206	ACTC1_mut	R-HSA-390522	0.0009123567263789786	1	0	1
53	4551	ACTC1_mut	R-HSA-9012999	0.0008230514108112806	0	0	1
53	4551	ACTC1_mut	R-HSA-9012999	0.0009123567263789786	1	0	1
54	5213	ACTG2_mut	R-HSA-445355	0.002908933007145404	0	0	1
54	5213	ACTG2_mut	R-HSA-445355	0.003019868276573511	1	0	1
55	3831	ACTN2_mut	R-HSA-114608	0.02093030360992998	0	0	1
55	3831	ACTN2_mut	R-HSA-114608	0.019787726186526317	1	0	1
55	5201	ACTN2_mut	R-HSA-373753	0.02093030360992998	0	0	1
55	5201	ACTN2_mut	R-HSA-373753	0.019787726186526317	1	0	1
55	5206	ACTN2_mut	R-HSA-390522	0.02093030360992998	0	0	1
55	5206	ACTN2_mut	R-HSA-390522	0.019787726186526317	1	0	1
55	4333	ACTN2_mut	R-HSA-5673001	0.02093030360992998	0	0	1
55	4333	ACTN2_mut	R-HSA-5673001	0.019787726186526317	1	0	1
56	3831	ACTN4_mut	R-HSA-114608	0.0025028752849417892	0	0	1
56	3831	ACTN4_mut	R-HSA-114608	0.002084209322977889	1	0	1
56	5201	ACTN4_mut	R-HSA-373753	0.0025028752849417892	0	0	1
56	5201	ACTN4_mut	R-HSA-373753	0.002084209322977889	1	0	1
57	4726	ACVR1C_mut	R-HSA-1433617	0.0	0	0	1
57	4726	ACVR1C_mut	R-HSA-1433617	0.0	1	0	1
58	4726	ACVR2B_mut	R-HSA-1433617	0.0006749305414107059	0	0	1
58	4726	ACVR2B_mut	R-HSA-1433617	0.000668685017444659	1	0	1
58	4787	ACVR2B_mut	R-HSA-201451	0.0006749305414107059	0	0	1
58	4787	ACVR2B_mut	R-HSA-201451	0.000668685017444659	1	0	1
59	4787	ACVRL1_mut	R-HSA-201451	0.0001362148289748196	0	0	1
59	4787	ACVRL1_mut	R-HSA-201451	0.00013495434953054227	1	0	1
60	4932	ACY3_mut	R-HSA-5423646	0.0011234828026418756	0	0	1
60	4932	ACY3_mut	R-HSA-5423646	0.0010940282401053184	1	0	1
61	5269	ADAM15_mut	R-HSA-8941237	0.0	0	0	1
61	5269	ADAM15_mut	R-HSA-8941237	0.0	1	0	1
62	4177	ADAM19_mut	R-HSA-418990	0.007143837870292676	0	0	1
62	4177	ADAM19_mut	R-HSA-418990	0.007692621742737376	1	0	1
62	5269	ADAM19_mut	R-HSA-8941237	0.007143837870292676	0	0	1
62	5269	ADAM19_mut	R-HSA-8941237	0.007692621742737376	1	0	1
63	4826	ADAM21_mut	R-HSA-2534343	7.259259945158192e-06	0	0	1
63	4826	ADAM21_mut	R-HSA-2534343	7.07919725565868e-06	1	0	1
64	5234	ADAM22_mut	R-HSA-5682910	0.0	0	0	1
64	5234	ADAM22_mut	R-HSA-5682910	0.0	1	0	1
65	5234	ADAM23_mut	R-HSA-5682910	0.0	0	0	1
65	5234	ADAM23_mut	R-HSA-5682910	0.0	1	0	1
66	4826	ADAM30_amp	R-HSA-2534343	2.2586135817922088e-05	0	0	1
66	4826	ADAM30_amp	R-HSA-2534343	2.2025903913597882e-05	1	0	1
67	4826	ADAM30_mut	R-HSA-2534343	2.9704528091972155e-05	0	0	1
67	4826	ADAM30_mut	R-HSA-2534343	2.8967727202042523e-05	1	0	1
68	4977	ADAM8_mut	R-HSA-6798695	0.0013565876391415561	0	0	1
68	4977	ADAM8_mut	R-HSA-6798695	0.001344124436501362	1	0	1
69	4155	ADAMTS10_mut	R-HSA-3906995	0.006068883321454955	0	0	1
69	4155	ADAMTS10_mut	R-HSA-3906995	0.005658011986977524	1	0	1
69	4242	ADAMTS10_mut	R-HSA-5173214	0.006068883321454955	0	0	1
69	4242	ADAMTS10_mut	R-HSA-5173214	0.005658011986977524	1	0	1
70	4155	ADAMTS12_mut	R-HSA-3906995	6.971071281617706e-05	0	0	1
70	4155	ADAMTS12_mut	R-HSA-3906995	0.00010382783377672745	1	0	1
70	4242	ADAMTS12_mut	R-HSA-5173214	6.971071281617706e-05	0	0	1
70	4242	ADAMTS12_mut	R-HSA-5173214	0.00010382783377672745	1	0	1
71	4155	ADAMTS13_mut	R-HSA-3906995	0.020217895035683695	0	0	1
71	4155	ADAMTS13_mut	R-HSA-3906995	0.019222683331463486	1	0	1
71	4242	ADAMTS13_mut	R-HSA-5173214	0.020217895035683695	0	0	1
71	4242	ADAMTS13_mut	R-HSA-5173214	0.019222683331463486	1	0	1
72	4155	ADAMTS14_mut	R-HSA-3906995	0.001474665938278324	0	0	1
72	4155	ADAMTS14_mut	R-HSA-3906995	0.00142661181356137	1	0	1
72	4242	ADAMTS14_mut	R-HSA-5173214	0.001474665938278324	0	0	1
72	4242	ADAMTS14_mut	R-HSA-5173214	0.00142661181356137	1	0	1
73	4155	ADAMTS16_mut	R-HSA-3906995	0.0013885877876115653	0	0	1
73	4155	ADAMTS16_mut	R-HSA-3906995	0.0012856896357536446	1	0	1
73	4242	ADAMTS16_mut	R-HSA-5173214	0.0013885877876115653	0	0	1
73	4242	ADAMTS16_mut	R-HSA-5173214	0.0012856896357536446	1	0	1
74	4155	ADAMTS17_mut	R-HSA-3906995	0.003284299910269005	0	0	1
74	4155	ADAMTS17_mut	R-HSA-3906995	0.0031879977161426926	1	0	1
74	4242	ADAMTS17_mut	R-HSA-5173214	0.003284299910269005	0	0	1
74	4242	ADAMTS17_mut	R-HSA-5173214	0.0031879977161426926	1	0	1
75	4155	ADAMTS18_mut	R-HSA-3906995	0.01896864081370748	0	0	1
75	4155	ADAMTS18_mut	R-HSA-3906995	0.01813756952631391	1	0	1
75	4242	ADAMTS18_mut	R-HSA-5173214	0.01896864081370748	0	0	1
75	4242	ADAMTS18_mut	R-HSA-5173214	0.01813756952631391	1	0	1
76	4155	ADAMTS19_mut	R-HSA-3906995	0.016311337563416198	0	0	1
76	4155	ADAMTS19_mut	R-HSA-3906995	0.015536597955764996	1	0	1
76	4242	ADAMTS19_mut	R-HSA-5173214	0.016311337563416198	0	0	1
76	4242	ADAMTS19_mut	R-HSA-5173214	0.015536597955764996	1	0	1
77	4155	ADAMTS20_mut	R-HSA-3906995	0.0084715485960866	0	0	1
77	4155	ADAMTS20_mut	R-HSA-3906995	0.00803852294726918	1	0	1
77	4242	ADAMTS20_mut	R-HSA-5173214	0.0084715485960866	0	0	1
77	4242	ADAMTS20_mut	R-HSA-5173214	0.00803852294726918	1	0	1
78	4155	ADAMTS2_mut	R-HSA-3906995	0.0173132603296027	0	0	1
78	4155	ADAMTS2_mut	R-HSA-3906995	0.01636598897877977	1	0	1
78	4242	ADAMTS2_mut	R-HSA-5173214	0.0173132603296027	0	0	1
78	4242	ADAMTS2_mut	R-HSA-5173214	0.01636598897877977	1	0	1
79	4155	ADAMTS3_mut	R-HSA-3906995	0.0029094209902622323	0	0	1
79	4155	ADAMTS3_mut	R-HSA-3906995	0.0026996325719260816	1	0	1
79	4242	ADAMTS3_mut	R-HSA-5173214	0.0029094209902622323	0	0	1
79	4242	ADAMTS3_mut	R-HSA-5173214	0.0026996325719260816	1	0	1
80	4155	ADAMTS4_mut	R-HSA-3906995	0.00020949462290352649	0	0	1
80	4155	ADAMTS4_mut	R-HSA-3906995	0.0001912995756912197	1	0	1
80	4242	ADAMTS4_mut	R-HSA-5173214	0.00020949462290352649	0	0	1
80	4242	ADAMTS4_mut	R-HSA-5173214	0.0001912995756912197	1	0	1
81	4155	ADAMTS5_mut	R-HSA-3906995	0.0023626681253921967	0	0	1
81	4155	ADAMTS5_mut	R-HSA-3906995	0.0022807717145446483	1	0	1
81	4242	ADAMTS5_mut	R-HSA-5173214	0.0023626681253921967	0	0	1
81	4242	ADAMTS5_mut	R-HSA-5173214	0.0022807717145446483	1	0	1
82	4155	ADAMTS6_mut	R-HSA-3906995	0.007187147810731808	0	0	1
82	4155	ADAMTS6_mut	R-HSA-3906995	0.006845572230910572	1	0	1
82	4242	ADAMTS6_mut	R-HSA-5173214	0.007187147810731808	0	0	1
82	4242	ADAMTS6_mut	R-HSA-5173214	0.006845572230910572	1	0	1
83	4155	ADAMTS7_mut	R-HSA-3906995	0.0008829745249588288	0	0	1
83	4155	ADAMTS7_mut	R-HSA-3906995	0.0007445556415809228	1	0	1
83	4242	ADAMTS7_mut	R-HSA-5173214	0.0008829745249588288	0	0	1
83	4242	ADAMTS7_mut	R-HSA-5173214	0.0007445556415809228	1	0	1
84	4155	ADAMTS8_mut	R-HSA-3906995	0.005601609837160342	0	0	1
84	4155	ADAMTS8_mut	R-HSA-3906995	0.005224141403838682	1	0	1
84	4242	ADAMTS8_mut	R-HSA-5173214	0.005601609837160342	0	0	1
84	4242	ADAMTS8_mut	R-HSA-5173214	0.005224141403838682	1	0	1
85	4155	ADAMTS9_mut	R-HSA-3906995	0.006466474591030015	0	0	1
85	4155	ADAMTS9_mut	R-HSA-3906995	0.006148726204022144	1	0	1
85	4242	ADAMTS9_mut	R-HSA-5173214	0.006466474591030015	0	0	1
85	4242	ADAMTS9_mut	R-HSA-5173214	0.006148726204022144	1	0	1
86	4155	ADAMTSL1_mut	R-HSA-3906995	0.0028176409848836353	0	0	1
86	4155	ADAMTSL1_mut	R-HSA-3906995	0.002654714765311736	1	0	1
86	4242	ADAMTSL1_mut	R-HSA-5173214	0.0028176409848836353	0	0	1
86	4242	ADAMTSL1_mut	R-HSA-5173214	0.002654714765311736	1	0	1
87	4155	ADAMTSL2_mut	R-HSA-3906995	0.004308673593590761	0	0	1
87	4155	ADAMTSL2_mut	R-HSA-3906995	0.004072145196712679	1	0	1
87	4242	ADAMTSL2_mut	R-HSA-5173214	0.004308673593590761	0	0	1
87	4242	ADAMTSL2_mut	R-HSA-5173214	0.004072145196712679	1	0	1
88	4155	ADAMTSL3_mut	R-HSA-3906995	0.00028661931774978357	0	0	1
88	4155	ADAMTSL3_mut	R-HSA-3906995	0.00025459693102271156	1	0	1
88	4242	ADAMTSL3_mut	R-HSA-5173214	0.00028661931774978357	0	0	1
88	4242	ADAMTSL3_mut	R-HSA-5173214	0.00025459693102271156	1	0	1
89	4155	ADAMTSL4_mut	R-HSA-3906995	0.005064930876768712	0	0	1
89	4155	ADAMTSL4_mut	R-HSA-3906995	0.004756543286526317	1	0	1
89	4242	ADAMTSL4_mut	R-HSA-5173214	0.005064930876768712	0	0	1
89	4242	ADAMTSL4_mut	R-HSA-5173214	0.004756543286526317	1	0	1
90	4457	ADARB1_mut	R-HSA-75102	0.0	0	0	1
90	4457	ADARB1_mut	R-HSA-75102	0.0	1	0	1
90	4470	ADARB1_mut	R-HSA-77042	0.0	0	0	1
90	4470	ADARB1_mut	R-HSA-77042	0.0	1	0	1
91	4174	ADCY1_mut	R-HSA-418594	0.017882937643056113	0	0	1
91	4174	ADCY1_mut	R-HSA-418594	0.017177603078178234	1	0	1
91	4213	ADCY1_mut	R-HSA-442755	0.017882937643056113	0	0	1
91	4213	ADCY1_mut	R-HSA-442755	0.017177603078178234	1	0	1
91	4624	ADCY1_mut	R-HSA-9664433	0.017882937643056113	0	0	1
91	4624	ADCY1_mut	R-HSA-9664433	0.017177603078178234	1	0	1
92	3821	ADCY2_mut	R-HSA-111997	0.006141872594728031	0	0	1
92	3821	ADCY2_mut	R-HSA-111997	0.005835684188544595	1	0	1
92	3908	ADCY2_mut	R-HSA-164378	0.006141872594728031	0	0	1
92	3908	ADCY2_mut	R-HSA-164378	0.005835684188544595	1	0	1
92	4172	ADCY2_mut	R-HSA-418555	0.006141872594728031	0	0	1
92	4172	ADCY2_mut	R-HSA-418555	0.005835684188544595	1	0	1
92	4174	ADCY2_mut	R-HSA-418594	0.006141872594728031	0	0	1
92	4174	ADCY2_mut	R-HSA-418594	0.005835684188544595	1	0	1
92	4175	ADCY2_mut	R-HSA-418597	0.006141872594728031	0	0	1
92	4175	ADCY2_mut	R-HSA-418597	0.005835684188544595	1	0	1
92	4895	ADCY2_mut	R-HSA-432040	0.006141872594728031	0	0	1
92	4895	ADCY2_mut	R-HSA-432040	0.005835684188544595	1	0	1
92	4624	ADCY2_mut	R-HSA-9664433	0.006141872594728031	0	0	1
92	4624	ADCY2_mut	R-HSA-9664433	0.005835684188544595	1	0	1
92	4679	ADCY2_mut	R-HSA-977443	0.006141872594728031	0	0	1
92	4679	ADCY2_mut	R-HSA-977443	0.005835684188544595	1	0	1
93	3821	ADCY4_mut	R-HSA-111997	0.00919797945567148	0	0	1
93	3821	ADCY4_mut	R-HSA-111997	0.008943724054713838	1	0	1
93	3908	ADCY4_mut	R-HSA-164378	0.00919797945567148	0	0	1
93	3908	ADCY4_mut	R-HSA-164378	0.008943724054713838	1	0	1
93	4172	ADCY4_mut	R-HSA-418555	0.00919797945567148	0	0	1
93	4172	ADCY4_mut	R-HSA-418555	0.008943724054713838	1	0	1
93	4174	ADCY4_mut	R-HSA-418594	0.00919797945567148	0	0	1
93	4174	ADCY4_mut	R-HSA-418594	0.008943724054713838	1	0	1
93	4175	ADCY4_mut	R-HSA-418597	0.00919797945567148	0	0	1
93	4175	ADCY4_mut	R-HSA-418597	0.008943724054713838	1	0	1
93	4895	ADCY4_mut	R-HSA-432040	0.00919797945567148	0	0	1
93	4895	ADCY4_mut	R-HSA-432040	0.008943724054713838	1	0	1
93	4624	ADCY4_mut	R-HSA-9664433	0.00919797945567148	0	0	1
93	4624	ADCY4_mut	R-HSA-9664433	0.008943724054713838	1	0	1
93	4679	ADCY4_mut	R-HSA-977443	0.00919797945567148	0	0	1
93	4679	ADCY4_mut	R-HSA-977443	0.008943724054713838	1	0	1
94	3821	ADCY5_mut	R-HSA-111997	0.00867831558894573	0	0	1
94	3821	ADCY5_mut	R-HSA-111997	0.008531970549180793	1	0	1
94	3908	ADCY5_mut	R-HSA-164378	0.00867831558894573	0	0	1
94	3908	ADCY5_mut	R-HSA-164378	0.008531970549180793	1	0	1
94	4172	ADCY5_mut	R-HSA-418555	0.00867831558894573	0	0	1
