Hugo_Symbol	Entrez_Gene_Id	Pt1	Pt10	Pt11	Pt12	Pt13	Pt14	Pt15	Pt16	Pt17	Pt18	Pt19	Pt2	Pt20	Pt21	Pt22	Pt23	Pt24	Pt25	Pt26	Pt27	Pt28	Pt29	Pt3	Pt30	Pt31	Pt32	Pt33	Pt34	Pt35	Pt36	Pt37	Pt38	Pt4	Pt5	Pt6	Pt7	Pt9
POLR3C	10623	-1	1	1	1	1	2	1	0	1	0	1	1	1	0	1	1	1	2	0	0	0	0	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0
POLR3D	661	1	-2	0	1	0	-1	0	-1	-2	-1	-2	0	0	0	1	1	1	1	-1	0	0	-2	0	0	0	0	-1	-1	-1	0	0	0	1	0	0	-1	1
POLR3E	55718	1	0	0	0	0	0	-1	0	0	1	-1	0	-1	0	0	0	1	1	-1	0	0	0	1	0	0	0	-1	-1	-1	0	0	0	1	1	0	-1	0
POLR3F	10621	0	2	1	1	0	-1	1	-1	1	2	1	-1	1	0	1	-1	1	1	0	0	0	1	0	1	0	1	1	1	2	0	0	0	1	1	0	2	1
POLR3G	10622	1	0	0	-1	0	-1	1	-1	0	0	-1	0	0	0	-1	0	1	1	-1	0	0	0	0	0	0	1	0	-1	-1	-1	1	0	0	0	0	-1	1
POLR3GL	84265	-1	1	1	1	1	2	1	0	1	0	1	1	1	0	1	1	1	2	0	0	0	0	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0
POLR3H	171568	1	2	1	1	0	2	1	1	1	2	1	0	0	0	0	0	1	-1	2	0	0	1	1	0	1	2	0	1	2	0	0	-1	1	1	1	1	0
POLR3K	51728	1	0	0	0	0	0	-1	0	0	1	-1	0	-1	0	0	0	1	1	-1	0	0	-1	1	0	0	0	-1	-1	-1	0	0	0	1	1	0	-1	0
POLRMT	5442	-1	1	-1	0	0	2	-2	1	-2	1	0	0	0	0	0	-1	1	0	-1	0	0	1	0	0	-1	1	-1	0	-1	0	0	-1	0	1	0	1	0
POM121	9883	1	2	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	2	1	1	1	1	1	0	0	0	0	0	1	-1	1	0	1
